entry_id	Gene_name	SGD_gene_ID	Pubmed_ID	SGD_Reference	allele	description
Yeast_YAL001C_tfc3-tsv115	YAL001C	S000000001	PMID: 18708580	SGD_REF: S000127488	tfc3-tsv115	protein/peptide distribution: abnormal
Yeast_YAL001C_tfc3-tsv115	YAL001C	S000000001	PMID: 18708580	SGD_REF: S000127488	tfc3-tsv115	protein/peptide distribution: abnormal
Yeast_YAL025C_mak16-ts	YAL025C	S000000023	PMID: 18439903	SGD_REF: S000126287	mak16-ts	heat sensitivity: increased
Yeast_YAL034W-A_mtw1-ts	YAL034W-A	S000000032	PMID: 21552543	SGD_REF: S000145356	mtw1-ts	colony sectoring: increased
Yeast_YAL043C_pta1-ts	YAL043C	S000000041	PMID: 18439903	SGD_REF: S000126287	pta1-ts	RNA accumulation: decreased
Yeast_YAL043C_pta1-ts	YAL043C	S000000041	PMID: 18439903	SGD_REF: S000126287	pta1-ts	heat sensitivity: increased
Yeast_YBL026W_lsm2-ts	YBL026W	S000000122	PMID: 18439903	SGD_REF: S000126287	lsm2-ts	heat sensitivity: increased
Yeast_YBL026W_lsm2-ts	YBL026W	S000000122	PMID: 21552543	SGD_REF: S000145356	lsm2-ts	colony sectoring: increased
Yeast_YBL034C_stu1-5(tsallele)	YBL034C	S000000130	PMID: 23390603	SGD_REF: S000151997	stu1-5 (ts allele)	resistance to chemicals: decreased
Yeast_YBL034C_stu1-6(tsallele)	YBL034C	S000000130	PMID: 23390603	SGD_REF: S000151997	stu1-6 (ts allele)	resistance to chemicals: decreased
Yeast_YBL035C_pol12-ts	YBL035C	S000000131	PMID: 24336748	SGD_REF: S000156475	pol12-ts	mutation frequency: increased
Yeast_YBL035C_pol12-ts	YBL035C	S000000131	PMID: 21552543	SGD_REF: S000145356	pol12-ts	chromosome/plasmid maintenance: abnormal
Yeast_YBL035C_pol12-ts	YBL035C	S000000131	PMID: 25721128	SGD_REF: S000179429	pol12-ts	protein/peptide accumulation: increased
Yeast_YBL035C_pol12-ts	YBL035C	S000000131	PMID: 25721128	SGD_REF: S000179429	pol12-ts	protein/peptide accumulation: increased
Yeast_YBL040C_erd2-ts	YBL040C	S000000136	PMID: 18439903	SGD_REF: S000126287	erd2-ts	heat sensitivity: increased
Yeast_YBL041W_pre7-ts	YBL041W	S000000137	PMID: 18439903	SGD_REF: S000126287	pre7-ts	heat sensitivity: increased
Yeast_YBL074C_aar2-ts	YBL074C	S000000170	PMID: 18439903	SGD_REF: S000126287	aar2-ts	viability: decreased
Yeast_YBL074C_aar2-ts	YBL074C	S000000170	PMID: 18439903	SGD_REF: S000126287	aar2-ts	heat sensitivity: increased
Yeast_YBL074C_aar2-ts	YBL074C	S000000170	PMID: 20174551	SGD_REF: S000133286	aar2-ts	colony sectoring: increased
Yeast_YBL093C_rox3-182(tsallele)	YBL093C	S000000189	PMID: 23390603	SGD_REF: S000151997	rox3-182 (ts allele)	resistance to chemicals: decreased
Yeast_YBR004C_gpi18-ts	YBR004C	S000000208	PMID: 18439903	SGD_REF: S000126287	gpi18-ts	heat sensitivity: increased
Yeast_YBR011C_ipp1-ts	YBR011C	S000000215	PMID: 18439903	SGD_REF: S000126287	ipp1-ts	heat sensitivity: increased
Yeast_YBR029C_cds1-ts	YBR029C	S000000233	PMID: 18439903	SGD_REF: S000126287	cds1-ts	heat sensitivity: increased
Yeast_YBR049C_reb1-ts	YBR049C	S000000253	PMID: 18439903	SGD_REF: S000126287	reb1-ts	heat sensitivity: increased
Yeast_YBR058C-A_tsc3-2(tsallele)	YBR058C-A	S000007521	PMID: 23390603	SGD_REF: S000151997	tsc3-2 (ts allele)	resistance to chemicals: decreased
Yeast_YBR060C_orc2-1(tsallele)	YBR060C	S000000264	PMID: 23390603	SGD_REF: S000151997	orc2-1 (ts allele)	resistance to chemicals: decreased
Yeast_YBR070C_alg14-ts	YBR070C	S000000274	PMID: 18439903	SGD_REF: S000126287	alg14-ts	heat sensitivity: increased
Yeast_YBR079C_rpg1-ts	YBR079C	S000000283	PMID: 18439903	SGD_REF: S000126287	rpg1-ts	heat sensitivity: increased
Yeast_YBR088C_pol30-ts	YBR088C	S000000292	PMID: 21552543	SGD_REF: S000145356	pol30-ts	colony sectoring: increased
Yeast_YBR088C_pol30-ts	YBR088C	S000000292	PMID: 21552543	SGD_REF: S000145356	pol30-ts	chromosome/plasmid maintenance: abnormal
Yeast_YBR088C_pol30-ts	YBR088C	S000000292	PMID: 20174551	SGD_REF: S000133286	pol30-ts	colony sectoring: increased
Yeast_YBR088C_pol30-ts	YBR088C	S000000292	PMID: 18439903	SGD_REF: S000126287	pol30-ts	heat sensitivity: increased
Yeast_YBR121C_grs1-ts	YBR121C	S000000325	PMID: 20174551	SGD_REF: S000133286	grs1-ts	colony sectoring: increased
Yeast_YBR121C_grs1-ts	YBR121C	S000000325	PMID: 18439903	SGD_REF: S000126287	grs1-ts	heat sensitivity: increased
Yeast_YBR135W_cks1-35(tsallele)	YBR135W	S000000339	PMID: 23390603	SGD_REF: S000151997	cks1-35 (ts allele)	resistance to chemicals: decreased
Yeast_YBR135W_cks1-38(tsallele)	YBR135W	S000000339	PMID: 23390603	SGD_REF: S000151997	cks1-38 (ts allele)	resistance to chemicals: decreased
Yeast_YBR142W_mak5-ts	YBR142W	S000000346	PMID: 18439903	SGD_REF: S000126287	mak5-ts	heat sensitivity: increased
Yeast_YBR143C_sup45-ts	YBR143C	S000000347	PMID: 21552543	SGD_REF: S000145356	sup45-ts	colony sectoring: increased
Yeast_YBR152W_spp381-ts	YBR152W	S000000356	PMID: 18439903	SGD_REF: S000126287	spp381-ts	heat sensitivity: increased
Yeast_YBR152W_spp381-ts	YBR152W	S000000356	PMID: 21552543	SGD_REF: S000145356	spp381-ts	colony sectoring: increased
Yeast_YBR153W_rib7-ts	YBR153W	S000000357	PMID: 18439903	SGD_REF: S000126287	rib7-ts	heat sensitivity: increased
Yeast_YBR154C_rpb5-ts	YBR154C	S000000358	PMID: 18439903	SGD_REF: S000126287	rpb5-ts	heat sensitivity: increased
Yeast_YBR154C_rpb5-ts	YBR154C	S000000358	PMID: 18439903	SGD_REF: S000126287	rpb5-ts	viability: decreased
Yeast_YBR154C_rpb5-ts	YBR154C	S000000358	PMID: 20174551	SGD_REF: S000133286	rpb5-ts	colony sectoring: increased
Yeast_YBR155W_cns1-1(tsallele)	YBR155W	S000000359	PMID: 23390603	SGD_REF: S000151997	cns1-1 (ts allele)	resistance to chemicals: decreased
Yeast_YBR167C_pop7-ts	YBR167C	S000000371	PMID: 21552543	SGD_REF: S000145356	pop7-ts	colony sectoring: increased
Yeast_YBR167C_pop7-ts	YBR167C	S000000371	PMID: 18439903	SGD_REF: S000126287	pop7-ts	heat sensitivity: increased
Yeast_YBR202W_mcm7-(cdc47-ts)	YBR202W	S000000406	PMID: 23390603	SGD_REF: S000151997	mcm7-(cdc47-ts)	resistance to chemicals: decreased
Yeast_YBR202W_mcm7-(cdc47-ts)	YBR202W	S000000406	PMID: 23390603	SGD_REF: S000151997	mcm7-(cdc47-ts)	resistance to chemicals: decreased
Yeast_YBR202W_mcm7-(cdc47-ts)	YBR202W	S000000406	PMID: 24336748	SGD_REF: S000156475	mcm7-(cdc47-ts)	mutation frequency: increased
Yeast_YBR234C_arc40-ts	YBR234C	S000000438	PMID: 18439903	SGD_REF: S000126287	arc40-ts	heat sensitivity: increased
Yeast_YBR237W_prp5-1(tsallele)	YBR237W	S000000441	PMID: 23390603	SGD_REF: S000151997	prp5-1 (ts allele)	resistance to chemicals: decreased
Yeast_YBR253W_srb6-ts	YBR253W	S000000457	PMID: 18439903	SGD_REF: S000126287	srb6-ts	vegetative growth: decreased
Yeast_YBR254C_trs20-ts	YBR254C	S000000458	PMID: 18439903	SGD_REF: S000126287	trs20-ts	heat sensitivity: increased
Yeast_YBR256C_rib5-ts	YBR256C	S000000460	PMID: 18439903	SGD_REF: S000126287	rib5-ts	heat sensitivity: increased
Yeast_YBR257W_pop4-ts	YBR257W	S000000461	PMID: 18439903	SGD_REF: S000126287	pop4-ts	heat sensitivity: increased
Yeast_YCL052C_pbn1-ts	YCL052C	S000000557	PMID: 18439903	SGD_REF: S000126287	pbn1-ts	heat sensitivity: increased
Yeast_YCL052C_pbn1-ts	YCL052C	S000000557	PMID: 20174551	SGD_REF: S000133286	pbn1-ts	colony sectoring: increased
Yeast_YCR052W_rsc6-ts	YCR052W	S000000648	PMID: 18439903	SGD_REF: S000126287	rsc6-ts	heat sensitivity: increased
Yeast_YCR054C_ctr86-ts	YCR054C	S000000650	PMID: 18439903	SGD_REF: S000126287	ctr86-ts	heat sensitivity: increased
Yeast_YCR057C_pwp2-ts	YCR057C	S000000653	PMID: 21552543	SGD_REF: S000145356	pwp2-ts	chromosome/plasmid maintenance: abnormal
Yeast_YCR072C_rsa4-ts	YCR072C	S000000668	PMID: 18439903	SGD_REF: S000126287	rsa4-ts	heat sensitivity: increased
Yeast_YDL003W_mcd1-ts	YDL003W	S000002161	PMID: 18439903	SGD_REF: S000126287	mcd1-ts	heat sensitivity: increased
Yeast_YDL008W_apc11-22(tsallele)	YDL008W	S000002166	PMID: 23390603	SGD_REF: S000151997	apc11-22 (ts allele)	resistance to chemicals: decreased
Yeast_YDL015C_tsc13-ts	YDL015C	S000002173	PMID: 18439903	SGD_REF: S000126287	tsc13-ts	heat sensitivity: increased
Yeast_YDL017W_cdc7-1(tsallele)	YDL017W	S000002175	PMID: 23390603	SGD_REF: S000151997	cdc7-1 (ts allele)	resistance to chemicals: decreased
Yeast_YDL028C_mps1-6(tsallele)	YDL028C	S000002186	PMID: 23390603	SGD_REF: S000151997	mps1-6 (ts allele)	resistance to chemicals: decreased
Yeast_YDL043C_prp11-ts(tsallele)	YDL043C	S000002201	PMID: 23390603	SGD_REF: S000151997	prp11-ts (ts allele)	resistance to chemicals: decreased
Yeast_YDL044C_mtf2-(pet-ts3504)(S309P)	YDL044C	S000002202	PMID: 2124681	SGD_REF: S000051892	mtf2-(pet-ts3504) (S309P)	respiratory growth: decreased
Yeast_YDL045C_fad1-ts	YDL045C	S000002203	PMID: 21552543	SGD_REF: S000145356	fad1-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDL045C_fad1-ts	YDL045C	S000002203	PMID: 18439903	SGD_REF: S000126287	fad1-ts	heat sensitivity: increased
Yeast_YDL092W_srp14-ts	YDL092W	S000002250	PMID: 18439903	SGD_REF: S000126287	srp14-ts	heat sensitivity: increased
Yeast_YDL097C_rpn6-ts	YDL097C	S000002255	PMID: 18439903	SGD_REF: S000126287	rpn6-ts	heat sensitivity: increased
Yeast_YDL098C_snu23-ts	YDL098C	S000002256	PMID: 21552543	SGD_REF: S000145356	snu23-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDL098C_snu23-ts	YDL098C	S000002256	PMID: 18439903	SGD_REF: S000126287	snu23-ts	heat sensitivity: increased
Yeast_YDL102W_pol3-(cdc2-1)(tsallele)	YDL102W	S000002260	PMID: 6348512	SGD_REF: S000039857	pol3-(cdc2-1) (ts allele)	cell cycle progression in S phase: arrested
Yeast_YDL102W_pol3-(cdc2-1)(tsallele)	YDL102W	S000002260	PMID: 21552543	SGD_REF: S000145356	pol3-(cdc2-1) (ts allele)	chromosome/plasmid maintenance: abnormal
Yeast_YDL102W_pol3-(cdc2-1)(tsallele)	YDL102W	S000002260	PMID: 23390603	SGD_REF: S000151997	pol3-(cdc2-1) (ts allele)	resistance to chemicals: decreased
Yeast_YDL102W_pol3-(cdc2-7)(tsallele)	YDL102W	S000002260	PMID: 23390603	SGD_REF: S000151997	pol3-(cdc2-7) (ts allele)	resistance to chemicals: decreased
Yeast_YDL102W_pol3-(cdc2-7)(tsallele)	YDL102W	S000002260	PMID: 23390603	SGD_REF: S000151997	pol3-(cdc2-7) (ts allele)	resistance to chemicals: decreased
Yeast_YDL102W_pol3-(cdc2-1)(tsallele)	YDL102W	S000002260	PMID: 24336748	SGD_REF: S000156475	pol3-(cdc2-1) (ts allele)	mutation frequency: increased
Yeast_YDL102W_pol3-(cdc2-1)(tsallele)	YDL102W	S000002260	PMID: 4599956	SGD_REF: S000121571	pol3-(cdc2-1) (ts allele)	sporulation: absent
Yeast_YDL102W_pol3-(cdc2-1)(tsallele)	YDL102W	S000002260	PMID: 367734	SGD_REF: S000051645	pol3-(cdc2-1) (ts allele)	sporulation: decreased
Yeast_YDL102W_pol3-(cdc2-1)(tsallele)	YDL102W	S000002260	PMID: 367734	SGD_REF: S000051645	pol3-(cdc2-1) (ts allele)	meiosis: arrested
Yeast_YDL103C_qri1-ts	YDL103C	S000002261	PMID: 18439903	SGD_REF: S000126287	qri1-ts	heat sensitivity: increased
Yeast_YDL103C_qri1-ts1	YDL103C	S000002261	PMID: 21552543	SGD_REF: S000145356	qri1-ts1	chromosome/plasmid maintenance: abnormal
Yeast_YDL105W_nse4-ts3	YDL105W	S000002263	PMID: 21552543	SGD_REF: S000145356	nse4-ts3	chromosome/plasmid maintenance: abnormal
Yeast_YDL105W_nse4-ts1(tsallele)	YDL105W	S000002263	PMID: 23390603	SGD_REF: S000151997	nse4-ts1 (ts allele)	resistance to chemicals: decreased
Yeast_YDL105W_nse4-ts1(tsallele)	YDL105W	S000002263	PMID: 23390603	SGD_REF: S000151997	nse4-ts1 (ts allele)	resistance to chemicals: decreased
Yeast_YDL105W_nse4-ts2(tsallele)	YDL105W	S000002263	PMID: 23390603	SGD_REF: S000151997	nse4-ts2 (ts allele)	resistance to chemicals: decreased
Yeast_YDL105W_nse4-ts3(tsallele)	YDL105W	S000002263	PMID: 23390603	SGD_REF: S000151997	nse4-ts3 (ts allele)	resistance to chemicals: decreased
Yeast_YDL105W_nse4-ts4(tsallele)	YDL105W	S000002263	PMID: 23390603	SGD_REF: S000151997	nse4-ts4 (ts allele)	resistance to chemicals: decreased
Yeast_YDL105W_nse4-ts4(tsallele)	YDL105W	S000002263	PMID: 23390603	SGD_REF: S000151997	nse4-ts4 (ts allele)	resistance to chemicals: decreased
Yeast_YDL105W_nse4-ts	YDL105W	S000002263	PMID: 18439903	SGD_REF: S000126287	nse4-ts	heat sensitivity: increased
Yeast_YDL105W_nse4-ts/nse4-ts	YDL105W	S000002263	PMID: 18439903	SGD_REF: S000126287	nse4-ts/nse4-ts	chromosome/plasmid maintenance: abnormal
Yeast_YDL105W_nse4-ts	YDL105W	S000002263	PMID: 18439903	SGD_REF: S000126287	nse4-ts	viability: decreased
Yeast_YDL105W_nse4-ts	YDL105W	S000002263	PMID: 18439903	SGD_REF: S000126287	nse4-ts	chromosome/plasmid maintenance: abnormal
